idx,port,byte,t0_ns,latency_ns
948,1,214,57772179918310,130
949,0,222,57772180556970,130
950,1,215,57772180918470,110
951,0,223,57772181556810,140
952,1,216,57772181918180,120
953,0,224,57772182556800,150
954,1,217,57772182918310,180
955,0,225,57772183556760,120
956,1,218,57772183918050,130
957,0,226,57772184556700,130
958,1,219,57772184917930,130
959,0,227,57772185556370,130
960,1,220,57772185917840,130
961,0,228,57772186556510,170
962,1,221,57772186918100,160
963,0,229,57772187556740,120
964,1,222,57772187917770,140
965,0,230,57772188556140,140
966,1,223,57772188917690,120
967,0,231,57772189556060,140
968,1,224,57772189917580,120
969,0,232,57772190556060,160
970,1,225,57772190917790,180
971,0,233,57772191556140,180
972,1,226,57772191917500,130
973,0,234,57772192555870,140
974,1,227,57772192917360,140
975,0,235,57772193555800,130
976,1,228,57772193917330,140
977,0,236,57772194555820,150
978,1,229,57772194917680,150
979,0,237,57772195555930,140
980,1,230,57772195917220,130
981,0,238,57772196555800,160
982,1,231,57772196917160,140
983,0,239,57772197555560,140
984,1,232,57772197917040,120
985,0,240,57772198555570,160
986,1,233,57772198917240,140
987,0,241,57772199555680,130
988,1,234,57772199916920,100
989,0,242,57772200555350,130
990,1,235,57772200916860,140
991,0,243,57772201555460,140
992,1,236,57772201917630,140
993,0,244,57772202555340,170
